"Year","OrganisationId","OrganistationShortName","OrganisationName","ConectionByAmount","SanctionedCompanies","Process","Description","CompletedInfo","ConcentrationOfSuppliers","AccumulationOfSuppliersByOrganisation","QuantityOfPurchasesByException","PerformanceIndex","QuantityOfPurchases"
2017,94,"Int. San Jose","Gobiernos Departamentales",0,0.019,1,0.215,0.67,0.789,0.147,0,2.84,110
2017,96,"Int. Tacuarembo","Gobiernos Departamentales",0.085,0.091,1,0.322,0.674,0.919,0.418,0,3.51,42
2017,97,"Int. Treinta Y Tres","Gobiernos Departamentales",0,0.003,1,0,0.996,0.856,0.303,0,3.16,392
2017,98,"Int. Montevideo","Gobiernos Departamentales",0,0.221,0.978,0.061,0.213,0.2,0.16,0.109,1.94,6458
2018,1,"P. Legislativo","Poder Legislativo",0.132,0.02,0.994,0,0.932,0.758,0.132,0.042,3.01,515
2018,10,"MTOP","Poder Ejecutivo",0.127,0.192,0.982,0.001,0.791,0.579,0.147,0.122,2.94,3195
2018,11,"MEC","Poder Ejecutivo",0.012,0.115,0.895,0,0.691,0.507,0.119,0.308,2.65,3614
2018,12,"MSP","Poder Ejecutivo",0.017,0.3,0.965,0.001,0.785,0.628,0.26,0.384,3.34,4692
2018,13,"MTSS","Poder Ejecutivo",0,0.176,0.964,0.049,0.728,0.745,0.169,0.325,3.16,323
2018,14,"MVOTMA","Poder Ejecutivo",0.131,0.213,0.937,0.002,0.344,0.741,0.272,0.242,2.88,396
2018,15,"MIDES","Poder Ejecutivo",0.02,0.11,0.897,0.001,0.647,0.672,0.082,0.464,2.89,493
2018,16,"P. Judicial","Poder Judicial",0.021,0.078,0.811,0,0.58,0.457,0.08,0.309,2.34,260
2018,17,"TC","Organismos con Autonomia Funcional",0,0.063,1,0,0.089,0.85,0.452,0,2.45,32
2018,2,"Presidencia","Poder Ejecutivo",0.042,0.047,0.975,0,0.815,0.594,0.086,0.262,2.82,1754
2018,24,"NA","NA",0.086,0.065,0.777,0.003,0.703,0.532,0.167,0.666,3,397
2018,25,"ANEP","Entes Autonomos",0.008,0.155,0.908,0,0.62,0.549,0.086,0.177,2.5,2241
2018,26,"UDELAR","Entes Autonomos",0.001,0.19,0.939,0,0.545,0.6,0.038,0.108,2.42,1143
2018,27,"INAU","Servicios Descentralizados",0,0.234,0.843,0,0.507,0.694,0.124,0.084,2.49,611
2018,28,"BPS","Entes Autonomos",0.003,0.197,0.827,0,0.369,0.817,0.108,0.223,2.54,409
2018,29,"ASSE","Servicios Descentralizados",0.011,0.23,0.964,0,0.477,0.405,0.107,0.081,2.27,11464
2018,3,"MDN","Poder Ejecutivo",0.002,0.295,0.945,0,0.432,0.497,0.069,0.166,2.41,2731
2018,31,"UTEC","Entes Autonomos",0,0.05,0.934,0,0.276,0.802,0.274,0.196,2.53,93
2018,32,"INUMET","Servicios Descentralizados",0.177,0.036,0.985,0,0.965,0.872,0.513,0.736,4.28,279
2018,33,"FGN","Servicios Descentralizados",0.045,0.084,0.968,0,0.711,0.684,0.192,0.311,3,387
2018,34,"JUTEP","Servicios Descentralizados",0,0.078,0.972,0,0.794,0.835,0.297,0.178,3.15,58
2018,4,"MI","Poder Ejecutivo",0,0.126,0.983,0.001,0.814,0.325,0.06,0.268,2.58,10483
2018,40,"NA","NA",0,0,1,0,0,1,0.519,0,2.52,3
2018,5,"MEF","Poder Ejecutivo",0.03,0.138,0.92,0,0.765,0.521,0.095,0.145,2.61,1719
2018,50,"BCU","Entes Autonomos",0.019,0,0.803,0,0.803,0.5,0.264,0.26,2.65,65
2018,51,"BROU","Entes Autonomos",0.017,0.04,0.984,0,0.996,0.139,0.06,0.391,2.63,3594
2018,52,"BHU","Entes Autonomos",0,0.023,1,0,0.318,0.833,0.677,0,2.85,23
2018,53,"BSE","Entes Autonomos",0.066,0.167,0.999,0,0.99,0.148,0.106,0,2.48,2872
2018,6,"MRREE","Poder Ejecutivo",0.022,0.03,0.948,0,0.926,0.722,0.102,0.234,2.98,674
2018,60,"ANCAP","Entes Autonomos",0,0,1,0,0,1,0.732,0,2.73,3
2018,61,"UTE","Entes Autonomos",0.018,0.069,0.988,0,0.282,0.003,0.221,0.001,1.58,825
2018,62,"AFE","Entes Autonomos",0.006,0,1,0,0.842,1,0.318,0,3.17,14
2018,64,"ANP","Servicios Descentralizados",0.125,0.104,0.96,0,0.991,0.003,0.166,0.516,2.86,1278
2018,66,"OSE","Servicios Descentralizados",0.001,0.045,0.975,0,0.542,0.008,0.45,0.039,2.06,1555
2018,67,"CORREO","Servicios Descentralizados",0.003,0.062,0.99,0,0.904,0.518,0.149,0.078,2.7,2101
2018,68,"ANV","Servicios Descentralizados",0,0,1,0,1,1,1,0,4,1
2018,7,"MGAP","Poder Ejecutivo",0,0.067,0.948,0,0.853,0.63,0.978,0.008,3.48,3257
2018,70,"INC","Entes Autonomos",0,0,1,0,0,1,0.883,0,2.88,7
2018,8,"MIEM","Poder Ejecutivo",0.002,0.115,0.991,0,0.598,0.59,0.085,0.134,2.52,905
2018,80,"Int. Artigas","Gobiernos
Departamentales",0,0.016,1,0,0.525,0.7,0.183,0,2.42,46
2018,81,"Int. Canelones","Gobiernos
Departamentales",0,0.065,0.972,0.001,0.328,0.002,0.335,0.112,1.82,789
2018,82,"Int. Cerro Largo","Gobiernos
Departamentales",0,0.25,1,0,0.417,1,0.323,0,2.99,5
2018,83,"Int. Colonia","Gobiernos
Departamentales",0,0.037,0.986,0,0.626,0.807,0.094,0.017,2.57,146
2018,84,"Int. Durazno","Gobiernos
Departamentales",0,0.048,1,0,0.93,0.558,0.486,0,3.02,49
2018,85,"Int. Flores","Gobiernos
Departamentales",0,0.143,1,0,0.257,0.844,0.249,0,2.49,18
2018,86,"Int. Florida","Gobiernos
Departamentales",0,0.021,1,0,0.726,0.761,0.28,0,2.79,43
2018,88,"Int. Maldonado","Gobiernos
Departamentales",0,0.057,1,0,0.714,0.523,0.375,0,2.67,52
2018,89,"Int. Paysandu","Gobiernos
Departamentales",0,0.033,0.998,0,0.82,0.677,0.266,0.101,2.9,240
2018,9,"MT","Poder Ejecutivo",0.01,0.056,0.794,0,0.779,0.509,0.079,0.731,2.96,670
2018,90,"Int. Rio Negro","Gobiernos
Departamentales",0,0,1,0,0.8,0.908,0.374,0,3.08,20
2018,91,"Int. Rivera","Gobiernos
Departamentales",0,0.167,1,0,0.995,0.968,0.743,0,3.87,10
2018,93,"Int. Salto","Gobiernos
Departamentales",0,0.027,0.997,0,0.789,0.854,0.2,0.004,2.87,59
2018,94,"Int. San Jose","Gobiernos
Departamentales",0,0.021,1,0,0.225,0.83,0.162,0,2.24,74
2018,96,"Int. Tacuarembo","Gobiernos
Departamentales",0.069,0.168,1,0,0.168,0.929,0.427,0,2.76,34
2018,97,"Int. Treinta Y Tres","Gobiernos
Departamentales",0,0,1,0,0.996,0.832,0.501,0,3.33,408
2018,98,"Int. Montevideo","Gobiernos
Departamentales",0.002,0.148,0.983,0,0.269,0.172,0.049,0.104,1.73,6639
2018,"NA","NA","NA",0,0.104,0.955,0,0.239,0.939,0.369,0.013,2.62,16
